-----------------------------------------------------------------------------------------------------
21日00时14分15秒Info:System');"成功[BP.Sys.EnCfg-8]放入缓存。
21日00时15分41秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日15时24分37秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1460        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND13703')) AS X ) AND FK_MapData='ND13703',异常信息:列名 'GroupID' 无效。
21日15时24分38秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日15时24分38秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日15时24分38秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=775        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND13701')) AS X ) AND FK_MapData='ND13701',异常信息:列名 'GroupID' 无效。
21日15时24分38秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1458        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND13702')) AS X ) AND FK_MapData='ND13702',异常信息:列名 'GroupID' 无效。
21日15时24分38秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1460        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND13703')) AS X ) AND FK_MapData='ND13703',异常信息:列名 'GroupID' 无效。
21日15时30分53秒Info:System');"成功[BP.Sys.EnCfg-8]放入缓存。
21日15时31分51秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日15时31分51秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日15时31分51秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=231        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='GT_LXSQ')) AS X ) AND FK_MapData='GT_LXSQ',异常信息:列名 'GroupID' 无效。
21日15时31分51秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=229        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='LXSQS')) AS X ) AND FK_MapData='LXSQS',异常信息:列名 'GroupID' 无效。
21日15时31分51秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=911        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND8401')) AS X ) AND FK_MapData='ND8401',异常信息:列名 'GroupID' 无效。
21日15时31分51秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=227        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='SPGW')) AS X ) AND FK_MapData='SPGW',异常信息:列名 'GroupID' 无效。
21日15时31分51秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=911        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND8401')) AS X ) AND FK_MapData='ND8401',异常信息:列名 'GroupID' 无效。
21日15时31分51秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1470        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND8499')) AS X ) AND FK_MapData='ND8499',异常信息:列名 'GroupID' 无效。
21日15时31分53秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日15时31分53秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日15时31分53秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=231        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='GT_LXSQ')) AS X ) AND FK_MapData='GT_LXSQ',异常信息:列名 'GroupID' 无效。
21日15时31分53秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=229        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='LXSQS')) AS X ) AND FK_MapData='LXSQS',异常信息:列名 'GroupID' 无效。
21日15时31分53秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=911        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND8401')) AS X ) AND FK_MapData='ND8401',异常信息:列名 'GroupID' 无效。
21日15时31分53秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=227        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='SPGW')) AS X ) AND FK_MapData='SPGW',异常信息:列名 'GroupID' 无效。
21日15时31分53秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=911        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND8401')) AS X ) AND FK_MapData='ND8401',异常信息:列名 'GroupID' 无效。
21日15时31分53秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1470        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND8499')) AS X ) AND FK_MapData='ND8499',异常信息:列名 'GroupID' 无效。
21日15时32分03秒Fatal:System');"SQL= SELECT  TOP 1 GT_LXSQ.JH_PFRQ JH_PFRQ,ISNULL(GT_LXSQ.RDT,'2016-07-21') RDT, GT_LXSQ.JBXX_XMMC, GT_LXSQ.JBXX_XZQMC, GT_LXSQ.JBXX_YSBH, ISNULL( round(GT_LXSQ.JH_GM_FK,4) ,0) AS  JH_GM_FK, ISNULL( round(GT_LXSQ.JH_GM_GBZ,4) ,0) AS  JH_GM_GBZ, ISNULL( round(GT_LXSQ.JH_GM_JBNTZL,4) ,0) AS  JH_GM_JBNTZL, ISNULL( round(GT_LXSQ.JH_GM_KF,4) ,0) AS  JH_GM_KF, ISNULL( round(GT_LXSQ.JH_GM_KYYZBPH,4) ,0) AS  JH_GM_KYYZBPH, ISNULL( round(GT_LXSQ.JH_GM_XZGD,4) ,0) AS  JH_GM_XZGD, ISNULL( round(GT_LXSQ.JH_GM_ZHGD,4) ,0) AS  JH_GM_ZHGD, ISNULL( round(GT_LXSQ.JH_GM_ZL,4) ,0) AS  JH_GM_ZL, ISNULL( round(GT_LXSQ.JH_GM_ZMJ,4) ,0) AS  JH_GM_ZMJ, GT_LXSQ.JH_JSQ, GT_LXSQ.JH_PFJG, GT_LXSQ.JH_PFWH, ISNULL( round(GT_LXSQ.JH_TZ_DF_DFLCXZF,4) ,0) AS  JH_TZ_DF_DFLCXZF, ISNULL( round(GT_LXSQ.JH_TZ_DF_FKYWRTZ,4) ,0) AS  JH_TZ_DF_FKYWRTZ, ISNULL( round(GT_LXSQ.JH_TZ_DF_GDKKF,4) ,0) AS  JH_TZ_DF_GDKKF, ISNULL( round(GT_LXSQ.JH_TZ_DF_QT_QTZJ,4) ,0) AS  JH_TZ_DF_QT_QTZJ, ISNULL( round(GT_LXSQ.JH_TZ_DF_TDCRCR,4) ,0) AS  JH_TZ_DF_TDCRCR, ISNULL( round(GT_LXSQ.JH_TZ_DF_TDFKF,4) ,0) AS  JH_TZ_DF_TDFKF, ISNULL( round(GT_LXSQ.JH_TZ_DF_ZXBCGDZJ,4) ,0) AS  JH_TZ_DF_ZXBCGDZJ, ISNULL( round(GT_LXSQ.JH_TZ_DF_ZYFPXZF,4) ,0) AS  JH_TZ_DF_ZYFPXZF, ISNULL( round(GT_LXSQ.JH_TZ_DFZJ,4) ,0) AS  JH_TZ_DFZJ, ISNULL( round(GT_LXSQ.JH_TZ_ZTZ,4) ,0) AS  JH_TZ_ZTZ, GT_LXSQ.JH_WJMC, GT_LXSQ.LXDH2, GT_LXSQ.LXR, GT_LXSQ.LXRDH,ISNULL(GT_LXSQ.OID,0)   OID, GT_LXSQ.JH_GM_GBZJSTJ, Demo_JSTJ_JH_GM_GBZJSTJ.Name AS JH_GM_GBZJSTJText, GT_LXSQ.SJFZR, GT_LXSQ.SQDW, GT_LXSQ.XXSHDW, ISNULL( GT_LXSQ.JBXX_ISZHXM,0) JBXX_ISZHXM FROM GT_LXSQ LEFT JOIN Demo_JSTJ AS Demo_JSTJ_JH_GM_GBZJSTJ ON GT_LXSQ.JH_GM_GBZJSTJ=Demo_JSTJ_JH_GM_GBZJSTJ.No WHERE (1=1)  AND GT_LXSQ.OID=@OID Exception=对象名 'Demo_JSTJ' 无效。
21日15时32分03秒Fatal:System');"SQL= SELECT  TOP 1 GT_LXSQ.JH_PFRQ JH_PFRQ,ISNULL(GT_LXSQ.RDT,'2016-07-21') RDT, GT_LXSQ.JBXX_XMMC, GT_LXSQ.JBXX_XZQMC, GT_LXSQ.JBXX_YSBH, ISNULL( round(GT_LXSQ.JH_GM_FK,4) ,0) AS  JH_GM_FK, ISNULL( round(GT_LXSQ.JH_GM_GBZ,4) ,0) AS  JH_GM_GBZ, ISNULL( round(GT_LXSQ.JH_GM_JBNTZL,4) ,0) AS  JH_GM_JBNTZL, ISNULL( round(GT_LXSQ.JH_GM_KF,4) ,0) AS  JH_GM_KF, ISNULL( round(GT_LXSQ.JH_GM_KYYZBPH,4) ,0) AS  JH_GM_KYYZBPH, ISNULL( round(GT_LXSQ.JH_GM_XZGD,4) ,0) AS  JH_GM_XZGD, ISNULL( round(GT_LXSQ.JH_GM_ZHGD,4) ,0) AS  JH_GM_ZHGD, ISNULL( round(GT_LXSQ.JH_GM_ZL,4) ,0) AS  JH_GM_ZL, ISNULL( round(GT_LXSQ.JH_GM_ZMJ,4) ,0) AS  JH_GM_ZMJ, GT_LXSQ.JH_JSQ, GT_LXSQ.JH_PFJG, GT_LXSQ.JH_PFWH, ISNULL( round(GT_LXSQ.JH_TZ_DF_DFLCXZF,4) ,0) AS  JH_TZ_DF_DFLCXZF, ISNULL( round(GT_LXSQ.JH_TZ_DF_FKYWRTZ,4) ,0) AS  JH_TZ_DF_FKYWRTZ, ISNULL( round(GT_LXSQ.JH_TZ_DF_GDKKF,4) ,0) AS  JH_TZ_DF_GDKKF, ISNULL( round(GT_LXSQ.JH_TZ_DF_QT_QTZJ,4) ,0) AS  JH_TZ_DF_QT_QTZJ, ISNULL( round(GT_LXSQ.JH_TZ_DF_TDCRCR,4) ,0) AS  JH_TZ_DF_TDCRCR, ISNULL( round(GT_LXSQ.JH_TZ_DF_TDFKF,4) ,0) AS  JH_TZ_DF_TDFKF, ISNULL( round(GT_LXSQ.JH_TZ_DF_ZXBCGDZJ,4) ,0) AS  JH_TZ_DF_ZXBCGDZJ, ISNULL( round(GT_LXSQ.JH_TZ_DF_ZYFPXZF,4) ,0) AS  JH_TZ_DF_ZYFPXZF, ISNULL( round(GT_LXSQ.JH_TZ_DFZJ,4) ,0) AS  JH_TZ_DFZJ, ISNULL( round(GT_LXSQ.JH_TZ_ZTZ,4) ,0) AS  JH_TZ_ZTZ, GT_LXSQ.JH_WJMC, GT_LXSQ.LXDH2, GT_LXSQ.LXR, GT_LXSQ.LXRDH,ISNULL(GT_LXSQ.OID,0)   OID, GT_LXSQ.JH_GM_GBZJSTJ, Demo_JSTJ_JH_GM_GBZJSTJ.Name AS JH_GM_GBZJSTJText, GT_LXSQ.SJFZR, GT_LXSQ.SQDW, GT_LXSQ.XXSHDW, ISNULL( GT_LXSQ.JBXX_ISZHXM,0) JBXX_ISZHXM FROM GT_LXSQ LEFT JOIN Demo_JSTJ AS Demo_JSTJ_JH_GM_GBZJSTJ ON GT_LXSQ.JH_GM_GBZJSTJ=Demo_JSTJ_JH_GM_GBZJSTJ.No WHERE (1=1)  AND GT_LXSQ.OID=@OID Exception=对象名 'Demo_JSTJ' 无效。
21日15时34分48秒Fatal:System');"SQL= SELECT  TOP 1 GT_LXSQ.JH_PFRQ JH_PFRQ,ISNULL(GT_LXSQ.RDT,'2016-07-21') RDT, GT_LXSQ.JBXX_XMMC, GT_LXSQ.JBXX_XZQMC, GT_LXSQ.JBXX_YSBH, ISNULL( round(GT_LXSQ.JH_GM_FK,4) ,0) AS  JH_GM_FK, ISNULL( round(GT_LXSQ.JH_GM_GBZ,4) ,0) AS  JH_GM_GBZ, ISNULL( round(GT_LXSQ.JH_GM_JBNTZL,4) ,0) AS  JH_GM_JBNTZL, ISNULL( round(GT_LXSQ.JH_GM_KF,4) ,0) AS  JH_GM_KF, ISNULL( round(GT_LXSQ.JH_GM_KYYZBPH,4) ,0) AS  JH_GM_KYYZBPH, ISNULL( round(GT_LXSQ.JH_GM_XZGD,4) ,0) AS  JH_GM_XZGD, ISNULL( round(GT_LXSQ.JH_GM_ZHGD,4) ,0) AS  JH_GM_ZHGD, ISNULL( round(GT_LXSQ.JH_GM_ZL,4) ,0) AS  JH_GM_ZL, ISNULL( round(GT_LXSQ.JH_GM_ZMJ,4) ,0) AS  JH_GM_ZMJ, GT_LXSQ.JH_JSQ, GT_LXSQ.JH_PFJG, GT_LXSQ.JH_PFWH, ISNULL( round(GT_LXSQ.JH_TZ_DF_DFLCXZF,4) ,0) AS  JH_TZ_DF_DFLCXZF, ISNULL( round(GT_LXSQ.JH_TZ_DF_FKYWRTZ,4) ,0) AS  JH_TZ_DF_FKYWRTZ, ISNULL( round(GT_LXSQ.JH_TZ_DF_GDKKF,4) ,0) AS  JH_TZ_DF_GDKKF, ISNULL( round(GT_LXSQ.JH_TZ_DF_QT_QTZJ,4) ,0) AS  JH_TZ_DF_QT_QTZJ, ISNULL( round(GT_LXSQ.JH_TZ_DF_TDCRCR,4) ,0) AS  JH_TZ_DF_TDCRCR, ISNULL( round(GT_LXSQ.JH_TZ_DF_TDFKF,4) ,0) AS  JH_TZ_DF_TDFKF, ISNULL( round(GT_LXSQ.JH_TZ_DF_ZXBCGDZJ,4) ,0) AS  JH_TZ_DF_ZXBCGDZJ, ISNULL( round(GT_LXSQ.JH_TZ_DF_ZYFPXZF,4) ,0) AS  JH_TZ_DF_ZYFPXZF, ISNULL( round(GT_LXSQ.JH_TZ_DFZJ,4) ,0) AS  JH_TZ_DFZJ, ISNULL( round(GT_LXSQ.JH_TZ_ZTZ,4) ,0) AS  JH_TZ_ZTZ, GT_LXSQ.JH_WJMC, GT_LXSQ.LXDH2, GT_LXSQ.LXR, GT_LXSQ.LXRDH,ISNULL(GT_LXSQ.OID,0)   OID, GT_LXSQ.JH_GM_GBZJSTJ, Demo_JSTJ_JH_GM_GBZJSTJ.Name AS JH_GM_GBZJSTJText, GT_LXSQ.SJFZR, GT_LXSQ.SQDW, GT_LXSQ.XXSHDW, ISNULL( GT_LXSQ.JBXX_ISZHXM,0) JBXX_ISZHXM FROM GT_LXSQ LEFT JOIN Demo_JSTJ AS Demo_JSTJ_JH_GM_GBZJSTJ ON GT_LXSQ.JH_GM_GBZJSTJ=Demo_JSTJ_JH_GM_GBZJSTJ.No WHERE (1=1)  AND GT_LXSQ.OID=@OID Exception=对象名 'Demo_JSTJ' 无效。
21日15时34分48秒Fatal:System');"SQL= SELECT  TOP 1 GT_LXSQ.JH_PFRQ JH_PFRQ,ISNULL(GT_LXSQ.RDT,'2016-07-21') RDT, GT_LXSQ.JBXX_XMMC, GT_LXSQ.JBXX_XZQMC, GT_LXSQ.JBXX_YSBH, ISNULL( round(GT_LXSQ.JH_GM_FK,4) ,0) AS  JH_GM_FK, ISNULL( round(GT_LXSQ.JH_GM_GBZ,4) ,0) AS  JH_GM_GBZ, ISNULL( round(GT_LXSQ.JH_GM_JBNTZL,4) ,0) AS  JH_GM_JBNTZL, ISNULL( round(GT_LXSQ.JH_GM_KF,4) ,0) AS  JH_GM_KF, ISNULL( round(GT_LXSQ.JH_GM_KYYZBPH,4) ,0) AS  JH_GM_KYYZBPH, ISNULL( round(GT_LXSQ.JH_GM_XZGD,4) ,0) AS  JH_GM_XZGD, ISNULL( round(GT_LXSQ.JH_GM_ZHGD,4) ,0) AS  JH_GM_ZHGD, ISNULL( round(GT_LXSQ.JH_GM_ZL,4) ,0) AS  JH_GM_ZL, ISNULL( round(GT_LXSQ.JH_GM_ZMJ,4) ,0) AS  JH_GM_ZMJ, GT_LXSQ.JH_JSQ, GT_LXSQ.JH_PFJG, GT_LXSQ.JH_PFWH, ISNULL( round(GT_LXSQ.JH_TZ_DF_DFLCXZF,4) ,0) AS  JH_TZ_DF_DFLCXZF, ISNULL( round(GT_LXSQ.JH_TZ_DF_FKYWRTZ,4) ,0) AS  JH_TZ_DF_FKYWRTZ, ISNULL( round(GT_LXSQ.JH_TZ_DF_GDKKF,4) ,0) AS  JH_TZ_DF_GDKKF, ISNULL( round(GT_LXSQ.JH_TZ_DF_QT_QTZJ,4) ,0) AS  JH_TZ_DF_QT_QTZJ, ISNULL( round(GT_LXSQ.JH_TZ_DF_TDCRCR,4) ,0) AS  JH_TZ_DF_TDCRCR, ISNULL( round(GT_LXSQ.JH_TZ_DF_TDFKF,4) ,0) AS  JH_TZ_DF_TDFKF, ISNULL( round(GT_LXSQ.JH_TZ_DF_ZXBCGDZJ,4) ,0) AS  JH_TZ_DF_ZXBCGDZJ, ISNULL( round(GT_LXSQ.JH_TZ_DF_ZYFPXZF,4) ,0) AS  JH_TZ_DF_ZYFPXZF, ISNULL( round(GT_LXSQ.JH_TZ_DFZJ,4) ,0) AS  JH_TZ_DFZJ, ISNULL( round(GT_LXSQ.JH_TZ_ZTZ,4) ,0) AS  JH_TZ_ZTZ, GT_LXSQ.JH_WJMC, GT_LXSQ.LXDH2, GT_LXSQ.LXR, GT_LXSQ.LXRDH,ISNULL(GT_LXSQ.OID,0)   OID, GT_LXSQ.JH_GM_GBZJSTJ, Demo_JSTJ_JH_GM_GBZJSTJ.Name AS JH_GM_GBZJSTJText, GT_LXSQ.SJFZR, GT_LXSQ.SQDW, GT_LXSQ.XXSHDW, ISNULL( GT_LXSQ.JBXX_ISZHXM,0) JBXX_ISZHXM FROM GT_LXSQ LEFT JOIN Demo_JSTJ AS Demo_JSTJ_JH_GM_GBZJSTJ ON GT_LXSQ.JH_GM_GBZJSTJ=Demo_JSTJ_JH_GM_GBZJSTJ.No WHERE (1=1)  AND GT_LXSQ.OID=@OID Exception=对象名 'Demo_JSTJ' 无效。
21日15时37分03秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日15时37分03秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日15时37分03秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=863        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND12801')) AS X ) AND FK_MapData='ND12801',异常信息:列名 'GroupID' 无效。
21日15时37分03秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1474        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND12802')) AS X ) AND FK_MapData='ND12802',异常信息:列名 'GroupID' 无效。
21日15时37分03秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1476        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND12803')) AS X ) AND FK_MapData='ND12803',异常信息:列名 'GroupID' 无效。
21日15时41分12秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日15时41分12秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日15时41分12秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=761        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND11001')) AS X ) AND FK_MapData='ND11001',异常信息:列名 'GroupID' 无效。
21日15时41分12秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=767        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND11002')) AS X ) AND FK_MapData='ND11002',异常信息:列名 'GroupID' 无效。
21日15时41分12秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=771        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND11003')) AS X ) AND FK_MapData='ND11003',异常信息:列名 'GroupID' 无效。
21日15时41分28秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日15时41分28秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日15时41分28秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=761        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND11001')) AS X ) AND FK_MapData='ND11001',异常信息:列名 'GroupID' 无效。
21日15时41分28秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=767        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND11002')) AS X ) AND FK_MapData='ND11002',异常信息:列名 'GroupID' 无效。
21日15时41分28秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=771        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND11003')) AS X ) AND FK_MapData='ND11003',异常信息:列名 'GroupID' 无效。
21日15时47分24秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日15时47分24秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日15时47分24秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=101        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='Demo_01')) AS X ) AND FK_MapData='Demo_01',异常信息:列名 'GroupID' 无效。
21日15时47分24秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=113        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='Demo_02')) AS X ) AND FK_MapData='Demo_02',异常信息:列名 'GroupID' 无效。
21日15时47分24秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=115        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='Demo_03')) AS X ) AND FK_MapData='Demo_03',异常信息:列名 'GroupID' 无效。
21日15时47分24秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=137        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='Demo_04')) AS X ) AND FK_MapData='Demo_04',异常信息:列名 'GroupID' 无效。
21日15时47分25秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=388        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND101')) AS X ) AND FK_MapData='ND101',异常信息:列名 'GroupID' 无效。
21日15时47分25秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=381        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND102')) AS X ) AND FK_MapData='ND102',异常信息:列名 'GroupID' 无效。
21日15时47分25秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=383        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND103')) AS X ) AND FK_MapData='ND103',异常信息:列名 'GroupID' 无效。
21日15时47分25秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=385        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND104')) AS X ) AND FK_MapData='ND104',异常信息:列名 'GroupID' 无效。
21日15时47分25秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=387        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND199')) AS X ) AND FK_MapData='ND199',异常信息:列名 'GroupID' 无效。
21日15时49分08秒Info:System');"----------------------------------  start ------------------ 
21日15时49分08秒Info:System');"----------------------------------  end ------------------ 
21日15时57分25秒Info:System');"成功[BP.Sys.EnCfg-8]放入缓存。
21日16时01分21秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日16时01分21秒Info:System');"成功[BP.WF.Flow-103]放入缓存。
21日16时01分21秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=356        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND201')) AS X ) AND FK_MapData='ND201',异常信息:列名 'GroupID' 无效。
21日16时01分21秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=361        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND202')) AS X ) AND FK_MapData='ND202',异常信息:列名 'GroupID' 无效。
21日16时01分21秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=359        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND203')) AS X ) AND FK_MapData='ND203',异常信息:列名 'GroupID' 无效。
21日16时01分22秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=363        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND204')) AS X ) AND FK_MapData='ND204',异常信息:列名 'GroupID' 无效。
21日16时01分22秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=360        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND205')) AS X ) AND FK_MapData='ND205',异常信息:列名 'GroupID' 无效。
21日16时01分22秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=364        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND206')) AS X ) AND FK_MapData='ND206',异常信息:列名 'GroupID' 无效。
